"Last updated","Type","Suburb","Venue","Date and time of exposure","Health advice"
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Clemton Park","Coles Clemton Park   60 Charlotte Street and Harp Street","11:30am to 12pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Coles Hurstville Westfield Level 1, Westfield Hurstville, Cross Street and Park Road","10am to 3pm on Tuesday 13 July 202111:15am to 5:15pm on Sunday 11 July 202112:30pm to 5pm on Saturday 10 July 20218:00am to 5:15pm on Friday 9 July 20219:15am to 4pm on Thursday 8 July 20215am to 4pm on Wednesday 7 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Glenfield","Glenfield Station Fastfood & Delicatessen72 Railway Parade","8:10am to 8:25am on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Greenway Supacenta Wetherill Park1183 -1187 The Horsley Drive","5:25pm to 5:40pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Dulwich Hill","IGA Dulwich Hill398-400 New Canterbury Road","5:10pm to 5:25pm on Wednesday 14 July 20218:55am to 9:05am on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kingsford","IGA Kingsford361 Anzac Parade","11am to 11:30am on Thursday 15 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Marsden Park","IKEA Marsden Park 1 Hollinsworth Road","8am to 4pm on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kareela","Kareela GrocerShop T8 Kareela Village, Freya Street","2:45pm to 6:45pm on Thursday 15 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Glebe","Kmart Broadway1 Bay Street","6:45pm to 7pm on Thursday 8 July 20213:40pm to 4:25pm on Thursday 8 July 202112:15pm to 12:30pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Belmore","Metro Petroleum Belmore442A Punchbowl Road","10am to 11am on Sunday 11 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Officeworks Wetherill ParkGreenway Supacenta, The Horsley Drive","5:35pm to 5:40pm on Monday 12 July 20212:45pm to 3:15pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Rooty Hill","PharmaSave Rooty HillShop 1/3, 52 Rooty Hill Road North","1:20pm to 1:25pm on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Clemton Park","Priceline Pharmacy Clemton Park13/60 Charlotte Street","11:45am to 12:10pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Rooty Hill","Rooty Hill Supermarket Butchery29 Rooty Hill Road North","1pm to 1:15pm on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Faulconbridge","Shell Coles Express Faulconbridge575-581 Great Western Highway","12:55pm to 1:05pm on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Colyton","Shell Urbanista Cafe and Convenience Colyton88-90 Great Western Highway","6am to 6:20am on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Cabramatta","Speedway Petrol Station Cabramatta267 John Street","4:30pm to 4:35pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Canley Heights","Tobacconist and GiftsShop 1A, 238 Canley Heights Road","9am to 9:15am on Sunday 11 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Green Valley","Woolworths Green Valley187 Wilson Road","12pm to 1pm on Thursday 15 July 202110am to 10:35am on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Merrylands","Woolworths Merrylands209 Pitt Street","12pm to 12:15pm on Wednesday 14 July 20217pm to 7:15pm on Monday 12 July 20212:15pm to 3:45pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"17/07/2021","Monitor for symptoms.","Riverwood","Woolworths Riverwood Riverwood Plaza, 247 Belmore Road","2:30pm to 2:45pm on Wednesday 14 July 20213:30pm to 4:10pm on Friday 9 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Get tested immediately and self-isolate for 14 days.","Seven Hills","Better Health Pharmacy Seven Hills Plaza, Shop 70, 224 Prospect Highway","2:45pm to 3:15pm on Tuesday 13 July 20214:00pm to 4:30pm on Monday 12 July 202111:15am to 12:00am on Sunday 11 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"16/07/2021","Get tested immediately and self-isolate for 14 days.","Liverpool","Service NSW LiverpoolShop R19/2–18 Orange Grove Road","10am to 10:30am on Monday 12 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"16/07/2021","Get tested immediately and self-isolate for 14 days.","Emu Plains","Woolworths Lennox Shopping CentreCorner Great Western Highway and Lawson Street","4pm to 4:45pm on Saturday 10 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Thornton","7-Eleven Thornton1 Weakleys Drive","12:05pm to 12:11pm on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wollongong","7-Eleven West Wollongong346 Crown Street","7:30am to 2pm on Wednesday 7 July 20217:30am to 2pm on Tuesday 6 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield West","Aldi Fairfield West370 Hamilton Road","5:30pm to 6:30pm on Thursday 15 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kellyville","Aldi Kellyville 92 Wrights Road","3:00pm to 3:40pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Miller","Aldi MillerMiller Central, 90 Cartwright Avenue","11:45am to 12:00pm on Thursday 15 July 202112pm to 12:30pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Seven Hills","Anvil Lunchshop 8 Anvil Road","9:25am to 9:35am on Monday 12 July 202112:25pm to 12:35pm on Monday 12 July 202110:05am to 10:10am on Friday 9 July 20219:10am to 9:20am on Thursday 8 July 20219:25am to 9:35am on Thursday 1 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Chatswood","ANZ Chatswood 382 Victoria Avenue","12:00pm to 1:00pm on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield Heights","Boulevarde Traditional Bakery 4/154 The Boulevarde","9:30am to 10:30am on Sunday 11 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Belfield","BP Petrol Station Belfield53-57 Punchbowl Road","12:25pm to 12:45pm on Sunday 11 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Leppington","Chemist Warehouse Emerald Hills Emerald Hills Shopping Village, 5 Emerald Hills Boulevade","4:20pm to 4:30pm on Monday 12 July 20215:00pm to 5:15pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Casula","Costco Wholesale CasulaCrossroads Homemaker Centre, 20 Parkers Farm Place","11:00am to 11:45am on Thursday 15 July 202112:50pm to 4pm on Wednesday 7 July 20212pm to 4pm on Wednesday 7 July 202112pm (noon) to 1pm on Sunday 4 July 20217:50pm to 9pm on Tuesday 29 June 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Freshness 4 Less 74 Ware Street","12:15pm to 1:45pm on Monday 12 July 20214:25pm to 4:45pm on Sunday 11 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","East Greenacre","Hungry Jacks East Greenacre9-11 Roberts Road","7:40pm to 8:10pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Lakemba","I Juice Plus113 Haldon Street","4:25pm to 4:40pm on Sunday 11 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","KFC Fairfield352-354 The Horsley Drive","9am to 8:30pm on Sunday 11 July 20213:30pm to 11:30pm on Saturday 10 July 20213pm to 9pm on Tuesday 6 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Emu Plains","Lennox Village Emu PlainsCorner Great Western Highway and 1 Pyramid Street","3:45pm to 4:45pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Artarmon","Mazda Artarmon 339 Pacific Highway","8:00am to 9:00am on Thursday 15 July 20218:00am to 5:30am on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kingsford","Randwick Oriental Anzac Parade 500 Anzac Parade Kingsford","5:00pm to 6:00pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Tong Li Supermarket Hurstville Central Shop T15/225 Foret Road","4:05pm to 4:20pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Woolworths BWS Fairfield Neeta City1-29 Court Road","3:30pm to 3:45pm on Sunday 11 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Eastern Creek","Woolworths Eastern Creek 159 Rooty Hill Road South","1:50pm to 2:10pm on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Leppington","Woolworths Emerald Hills Emerald Hills Shopping Village, 5 Emerald Hills Boulevade","3:00pm to 3:45pm on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kellyville North","Woolworths Kellyville North Corner Withers and Hezlett Roads","3:15pm to 3:40pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"16/07/2021","Monitor for symptoms.","Emu Plains","Aldi Lennox VillageCorner of Great Western Highway and Lawson Street","3:45pm to 4pm on Saturday 10 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Bondi Junction","Chemist Warehouse Bondi Junction135 Oxford Street","8am to 8:30am on Wednesday 14 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Bondi Junction","Coles Bondi WestfieldWestfield Bondi Junction, 500 Oxford Street","8am to 8:30am on Wednesday 14 July 20211:40pm to 1:50pm on Saturday 10 July 202112:50pm to 1:10pm on Friday 9 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Fairfield West","Coles Fairfield West Markey Plaza, 386 Hamilton Road","2:30pm to 3:10pm on Sunday 11 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Hurstville","Coles Hurstville Station 225 Forest Road","10:30pm to 11am on Wednesday 14 July 20213:25pm to 3:35pm on Tuesday 13 July 20213:35pm to 3:45pm on Monday 12 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Casula","Costco Wholesale Casula Crossroads Homemaker Centre, 20 Parkers Farm Place","1:35pm to 2:10pm on Friday 9 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Coogee","Maloneys Grocer Coogee214 Coogee Bay Road","5:35pm to 6pm on Monday 12 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Prestons","McDonalds Cartwright 2 Lyn Parade","10:50pm to 11:00pm on Tuesday 13 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Revesby","Metro Petroleum Revesby 10-12 Milperra Road","5:30pm to 5:40pm on Tuesday 13 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Sydney","Priceline Pharmacy Sydney (Elizabeth Street)227 Elizabeth Street","9:25am to 9:35am on Monday 12 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Hurstville","Station MeatsWestfield Hurstville, 12/225 Forest Road","10am to 10:20am on Wednesday 14 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Bellevue Hill","Tucker98G Bellevue Road","12:25pm to 12:30pm on Saturday 10 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Hurstville","Woolworths Hurstville Corner Park and Cross Streets","5:40pm to 6pm on Monday 12 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Coogee","Woolworths Metro CoogeeCoogee Bay Village, 184-196 Coogee Bay Road","5:40pm to 6pm on Monday 12 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"16/07/2021","Monitor for symptoms.","Wolli Creek","Woolworths Wolli Creek78-96 Arncliffe Street","1pm to 1:40pm on Thursday 8 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur get tested immediately and self-isolate until you receive a negative result."
"15/07/2021","Get tested immediately and self-isolate for 14 days.","Seven Hills","Alpha Medical CentreShop 69/224 Prospect Highway","8am to 5pm on Wednesday 14 July 20218am to 5pm on Tuesday 13 July 20212:15pm to 4:30pm on Monday 12 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"15/07/2021","Get tested immediately and self-isolate for 14 days.","Punchbowl","Chemist Warehouse Punchbowl18/1 Broadway","2:30pm to 3pm on Thursday 8 July 20219:20am to 9:40am on Thursday 8 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"15/07/2021","Get tested immediately and self-isolate for 14 days.","Greenacre","D and M Excavations and Asphalting19 Bellfrog Street","All day on Wednesday 14 July 2021All day on Tuesday 13 July 2021All day on Monday 12 July 2021All day on Sunday 11 July 2021All day on Saturday 10 July 2021All day on Friday 9 July 2021All day on Thursday 8 July 2021All day on Wednesday 7 July 2021All day on Tuesday 6 July 2021All day on Monday 5 July 2021All day on Saturday 3 July 2021All day on Friday 2 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"15/07/2021","Get tested immediately and self-isolate for 14 days.","Greenacre","Hanson Concrete Australia18-20 Bellfrog Street","All day on Wednesday 14 July 2021All day on Tuesday 13 July 2021All day on Monday 12 July 2021All day on Sunday 11 July 2021All day on Saturday 10 July 2021All day on Friday 9 July 2021All day on Thursday 8 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"15/07/2021","Get tested immediately and self-isolate for 14 days.","Punchbowl","McDonalds Punchbowl (drive thru only)1171 Canterbury Road","6am to 4pm on Thursday 8 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"15/07/2021","Get tested immediately and self-isolate for 14 days.","Green Valley","Pennas Green Valley Pharmacy174 Green Valley Road","3:15pm to 3:25pm on Sunday 11 July 20211.05pm to 1:15pm on Saturday 10 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"15/07/2021","Get tested immediately and self-isolate for 14 days.","Hay","Shell HaySturt Highway","7:30am to 8am on Saturday 10 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"15/07/2021","Get tested immediately and self-isolate for 14 days.","Fairfield","Star Sweet Patisserie37B Smart Street","4:20pm to 4:30pm on Sunday 11 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
